Date,RSG,EXC,DUK,NEE,ES,EVRG,AJG,WEC,DTE,YUM
2018-08-21,72.66697692871091,43.1135444641113,78.724365234375,168.241683959961,60.9279975891113,55.5627555847168,70.83790588378909,66.21591949462889,109.312889099121,83.2573623657227
2018-08-22,72.16461181640621,42.9570922851562,78.2885208129883,167.345077514648,60.4914779663086,55.1562728881836,70.1624221801758,65.6883087158203,107.867935180664,82.7439804077148
2018-08-23,72.1054992675781,42.9277572631836,78.3369445800781,167.267105102539,60.5593872070312,55.1078758239746,70.2407302856445,65.76645660400389,108.061874389648,82.45765686035159
2018-08-24,72.1252136230469,43.0548782348633,78.8502883911133,168.30989074707,60.879489898681605,55.6014747619629,70.6323165893555,66.245231628418,108.517677307129,83.0697784423828
2018-08-27,72.0562515258789,42.683292388916,78.0560531616211,167.101425170898,60.3459701538086,55.1272392272949,70.779167175293,65.561279296875,107.97460174560499,83.4153289794922
2018-08-28,72.0365447998047,42.4388313293457,77.823616027832,166.224304199219,59.987060546875,55.517520904540994,70.6225280761719,65.4049606323242,107.38304901123001,84.2841415405273
2018-08-29,72.3517684936523,42.849525451660206,78.1916580200195,167.283752441406,60.3168716430664,55.7224197387695,70.7595901489258,65.89349365234379,107.906707763672,84.8962478637695
2018-08-30,72.341911315918,42.9668655395508,78.7631072998047,167.578033447266,60.763088226318395,55.956581115722706,70.1624221801758,66.2745513916016,108.47887420654301,84.6099319458008
2018-08-31,72.2631149291992,42.7419586181641,78.6856231689453,166.86193847656202,60.5593872070312,55.6638717651367,70.6225280761719,66.0302734375,107.78064727783199,85.784797668457
2018-09-04,72.568473815918,43.0157585144043,78.8599624633789,166.793258666992,60.5496826171875,56.1126937866211,71.45465087890621,66.69467926025389,108.294624328613,85.91314697265621
2018-09-05,72.87384033203121,43.2211112976074,80.5743179321289,168.352981567383,61.480918884277294,57.0981559753418,71.98329162597659,67.3493194580078,109.846260070801,85.626838684082
2018-09-06,73.2875595092773,43.377567291259794,80.8455123901367,170.511123657227,61.607017517089794,57.5177116394043,72.7117919921875,67.701057434082,110.55419158935499,86.80169677734379
2018-09-07,73.5436782836914,43.093990325927706,79.8769607543945,168.823867797852,60.9279975891113,56.8835029602051,72.6133499145508,66.9878005981445,109.545639038086,87.2755889892578
2018-09-10,74.0755996704102,43.631805419921896,79.7219772338867,168.755187988281,61.4033126831055,57.05912780761721,73.0366592407227,67.5349655151367,109.972328186035,87.33483123779301
2018-09-11,74.1051559448242,43.2211112976074,78.8212203979492,168.872894287109,61.374210357665994,56.9908332824707,72.9775924682617,67.37863159179689,109.79776763916,87.10775756835942
2018-09-12,73.3860626220703,43.142879486084006,78.3466339111328,169.216247558594,61.3160057067871,56.737152099609396,72.406608581543,67.1245880126953,109.60382080078101,87.20648193359379
2018-09-13,73.6323318481445,43.4557914733887,79.5670166015625,171.276275634766,61.70402526855471,56.688358306884794,73.4599838256836,67.46657562255861,110.321449279785,87.3644485473633
2018-09-14,73.8096389770508,43.1037712097168,79.1311569213867,170.344329833984,61.6264228820801,56.3566207885742,73.7257766723633,67.2223052978516,109.757034301758,87.0188980102539
