Date,AMD,BLL,XLNX,SBUX,AZO,CMG,CDNS,CINF,AMT,HSY
2018-08-24,23.9799995422363,40.735034942627,73.004035949707,51.9548568725586,770.52001953125,520.710021972656,46.8199996948242,74.55213928222659,145.145690917969,97.9178466796875
2018-08-27,25.260000228881804,41.488468170166,74.438591003418,52.1715431213379,767.9400024414059,495.600006103516,46.8400001525879,74.9030227661133,145.449569702148,97.4467620849609
2018-08-28,25.0499992370605,41.3100242614746,76.1699523925781,52.250335693359396,766.119995117188,494.089996337891,46.9099998474121,74.84454345703121,147.14553833007798,96.92660522460942
2018-08-29,25.2000007629395,41.4785575866699,77.4264297485352,52.447322845459006,769.640014648438,487.649993896484,47.2599983215332,74.7665557861328,147.48864746093798,97.7608184814453
2018-08-30,24.8899993896484,41.4785575866699,76.3975067138672,52.2995834350586,760.890014648438,483.989990234375,47.060001373290994,74.3864517211914,146.008377075195,98.0650634765625
2018-08-31,25.1700000762939,41.617683410644496,77.0010070800781,52.6443061828613,766.880004882812,475.179992675781,47.040000915527294,74.7275848388672,146.184799194336,98.65392303466801
2018-09-04,28.059999465942397,41.160560607910206,77.9507751464844,52.72309875488279,783.0,477.489990234375,46.6399993896484,75.2246627807617,145.233901977539,99.61573028564449
2018-09-05,28.510000228881804,41.6872444152832,77.96067810058591,52.979183197021506,772.4299926757809,477.880004882812,46.529998779296896,75.4878158569336,144.694747924805,100.960304260254
2018-09-06,27.8400001525879,41.8760528564453,77.2087707519531,53.392848968505895,771.6599731445309,481.049987792969,46.540000915527294,75.6730041503906,145.175094604492,102.30487060546899
2018-09-07,27.3799991607666,42.1543006896973,76.3777084350586,54.033054351806605,772.530029296875,482.02999877929705,46.439998626709006,75.2051696777344,143.665420532227,101.716011047363
2018-09-10,29.8899993896484,42.9095420837402,76.1204833984375,54.141395568847706,764.97998046875,489.119995117188,46.4900016784668,75.0784606933594,144.43005371093798,102.471710205078
2018-09-11,30.100000381469698,42.5219841003418,75.6455993652344,54.289134979248,764.3200073242191,488.23001098632795,46.459999084472706,74.8542938232422,144.106552124023,102.30487060546899
2018-09-12,32.2099990844727,42.929412841796896,75.2993240356445,54.141395568847706,764.02001953125,494.76998901367205,45.869998931884794,74.0453186035156,144.410446166992,104.05181884765601
2018-09-13,30.4799995422363,43.5355949401855,76.516227722168,54.0626029968262,765.2999877929691,495.940002441406,46.310001373290994,74.9517593383789,145.79269409179702,104.621047973633
2018-09-14,32.720001220703104,43.863525390625,76.743766784668,53.924709320068395,749.2000122070309,491.559997558594,46.2599983215332,75.7997131347656,144.292816162109,104.002754211426
2018-09-17,32.4300003051758,43.863525390625,75.90283203125,53.7474250793457,747.52001953125,488.320007324219,45.369998931884794,75.86793518066409,144.841781616211,101.843589782715
2018-09-18,31.9300003051758,44.6386375427246,76.743766784668,54.2398872375488,732.760009765625,491.489990234375,45.220001220703104,76.52545166015621,144.508499145508,101.519721984863
2018-09-19,31.2099990844727,43.952964782714794,76.8229217529297,54.5944595336914,754.280029296875,490.600006103516,45.029998779296896,77.1142501831055,144.67512512207,100.754196166992
2018-09-20,31.1800003051758,44.1119613647461,78.1288604736328,55.5793876647949,761.9099731445309,480.100006103516,45.75,77.4969787597656,145.802505493164,101.52953338623001
2018-09-21,31.0200004577637,44.2908325195312,77.8914260864258,56.584011077880895,769.869995117188,467.369995117188,45.529998779296896,77.5558547973633,145.567230224609,101.971176147461
2018-09-24,32.6100006103516,44.579017639160206,78.2970504760742,55.8354644775391,765.0,465.890014648438,45.5699996948242,75.9660720825195,143.498764038086,100.292930603027
2018-09-25,32.5699996948242,43.9430274963379,76.5360107421875,56.042301177978494,772.7999877929691,465.619995117188,45.41999816894529,75.7894287109375,142.832138061523,100.391075134277
2018-09-26,32.189998626709,44.022525787353494,77.47589111328121,56.4067268371582,778.0,467.910003662109,44.9500007629395,75.1711807250977,141.11657714843798,100.10645294189501
2018-09-27,32.5900001525879,43.863525390625,79.048957824707,56.475669860839794,779.780029296875,465.399993896484,45.0099983215332,75.0926742553711,141.343307495117,99.8512802124023
2018-09-28,30.8899993896484,43.7144660949707,79.3160781860352,55.9832077026367,775.7000122070309,454.51998901367205,45.3199996948242,75.3772659301758,143.22604370117202,100.10645294189501
2018-10-01,31.4200000762939,43.6051559448242,79.1083145141602,54.7422027587891,770.349975585938,446.97000122070295,45.060001373290994,73.96412658691409,141.974182128906,99.75314331054692
2018-10-02,29.0200004577637,44.17158508300779,79.3358688354492,54.7520523071289,762.8200073242191,436.369995117188,44.4900016784668,74.660888671875,142.072738647461,100.79344940185499
2018-10-03,28.4300003051758,45.036136627197294,81.2453155517578,54.6338577270508,763.6900024414059,436.440002441406,44.9000015258789,74.43516540527341,141.855880737305,100.20459747314501
2018-10-04,27.780000686645497,45.5230712890625,81.36402893066409,55.0475273132324,763.900024414062,447.76998901367205,43.41999816894529,75.0730514526367,142.378326416016,100.82290649414101
2018-10-05,27.350000381469698,45.6423187255859,77.0702667236328,54.9194831848145,771.2999877929691,449.359985351562,42.9000015258789,75.2496871948242,142.683898925781,102.452079772949
2018-10-08,26.4599990844727,46.059684753418,76.6448440551758,55.6877288818359,788.469970703125,448.559997558594,41.4099998474121,76.1623458862305,143.709045410156,104.257934570312
2018-10-09,27.239999771118196,45.433631896972706,76.8229217529297,56.840091705322294,782.5900268554691,447.089996337891,41.310001373291,76.5745162963867,145.542495727539,102.97224426269501
2018-10-10,25.0,43.5852851867676,73.6866912841797,55.1657180786133,778.1699829101559,434.20999145507795,39.47999954223629,74.9062194824219,143.423187255859,101.81414794921899
2018-10-11,25.2999992370605,43.23747253417971,73.201904296875,54.033054351806605,769.010009765625,433.929992675781,39.1300010681152,71.5990753173828,138.671981811523,100.194778442383
2018-10-12,26.3400001525879,43.8834037780762,75.3092269897461,55.5990867614746,774.9600219726559,435.70999145507795,39.9900016784668,70.9808349609375,140.02243041992202,101.490280151367
2018-10-15,26.260000228881804,44.3206443786621,74.7353973388672,55.894561767578104,787.0,431.739990234375,39.3800010681152,70.8140029907227,140.692718505859,103.011505126953
2018-10-16,28.1800003051758,45.811248779296896,78.0497207641602,56.9385871887207,773.510009765625,433.950012207031,40.3400001525879,72.9042663574219,143.610488891602,103.54148101806601
2018-10-17,27.2999992370605,45.9106216430664,76.8921737670898,58.2091407775879,714.7100219726559,429.850006103516,40.4000015258789,74.3370361328125,144.586334228516,103.237236022949
2018-10-18,26.6200008392334,45.9106216430664,75.10145568847659,57.756072998046896,730.030029296875,431.73001098632795,40.040000915527294,74.2683410644531,144.694763183594,102.63855743408199
2018-10-19,23.6599998474121,45.6423187255859,73.31072998046879,57.7757720947266,725.7999877929691,428.54000854492205,40.1100006103516,74.886589050293,148.00680541992202,104.60143280029301
2018-10-22,25.030000686645497,44.847328186035206,74.1121063232422,58.0121536254883,736.280029296875,431.190002441406,40.6100006103516,73.68934631347659,147.11965942382798,103.81627655029301
2018-10-23,25.0900001525879,44.827449798584006,74.00328063964841,57.9235153198242,734.3400268554691,434.29000854492205,46.8499984741211,72.53135681152341,148.696838378906,105.71044158935499
2018-10-24,22.7900009155273,43.3765983581543,68.3046340942383,57.184818267822294,728.219970703125,413.0,45.1100006103516,70.0583648681641,149.800827026367,106.161911010742
2018-10-25,19.270000457763697,43.0486640930176,78.5542831420898,58.071250915527294,740.0,423.880004882812,46.529998779296896,70.4116516113281,151.318862915039,100.930854797363
2018-10-26,17.6299991607666,43.1182250976562,77.9408798217773,57.1946678161621,743.5700073242191,438.380004882812,45.5200004577637,75.0730514526367,147.474517822266,100.61679077148399
2018-10-29,16.8500003814697,43.59521484375,77.5154647827148,57.4901466369629,747.0499877929691,440.869995117188,44.2000007629395,75.3674545288086,150.638717651367,104.032188415527
2018-10-30,17.2000007629395,44.688327789306605,81.1760635375977,57.7068290710449,747.400024414062,461.76998901367205,44.380001068115206,76.9081649780273,158.652648925781,106.03433227539101
2018-10-31,18.2099990844727,44.5193939208984,84.460693359375,57.3916511535645,733.469970703125,460.329986572266,44.5699996948242,77.1731338500977,153.586029052734,105.160850524902
2018-11-01,20.2199993133545,47.32173156738279,86.0634384155273,57.746223449707,745.869995117188,472.619995117188,45.310001373290994,76.9670486450195,150.835845947266,105.34732055664101
2018-11-02,20.229999542236303,47.063362121582,84.1638870239258,63.3504524230957,760.489990234375,476.390014648438,45.1500015258789,76.5941467285156,149.889541625977,103.875160217285
2018-11-05,19.8999996185303,47.1130447387695,83.4614486694336,63.5080451965332,766.349975585938,469.649993896484,44.9500007629395,77.7030563354492,153.477600097656,104.98419189453101
